Resource.Property,Property Type,Optional/Required,Generator,Sample Data
Customer.customer_id,String,Required,"IDGEN.get(""M-"")","""M-"" + Incremental 1- 65 million"
Customer.lastName,String,Required,fake.last_name(),Smith
Customer.firstName,String,Optional,fake.first_name(),Sam
Customer.middleName,String,Optional,fake.first_name(),Elijah
Customer.suffix,String,Optional,fake.suffix(),esq
Customer.SSN,String,Optional,fake.ssn(),0
Customer.dateOfBirth,date,Required,"fake.past_datetime() - datetime.timedelta(365*20)",0
Customer.gender,String,Required,"fake.random_element(('Male', 'Female', 'Other'))","Male, Female, Other"
Customer.ethnicity,String,Optional,"fake.random_element(('White', 'American Indian', 'Asian', 'Hispanic', 'African American'))","White, American Indian, Asian, Hispanic, African American"
Customer.maritialStatus,String,Optional,"fake.random_element(('Married', 'Widow', 'Single'))","Married, Widow, Single"
Customer.primaryProvider_id,String,Optional,"IDGEN.random_value(""P-"")",0
Customer.EffectiveDate,Date,Optional,fake.past_datetime(),0
Customer.EndDate,Date,Optional,"fake.future_datetime(end_date=""+8y"")",0
Customer.CitizenshipStatusCode,String,Optional,"fake.random_element(('Native', 'Naturalised', 'Alien Permanent', 'Alien Temporary', 'Citizen', 'Foreign Worker', 'Permanent Resident', 'Foreigh ID Card Holder'))","Native, Naturalised, Alien Permanent, Alien Temporary, Citizen, Foreign Worker, Permanent Resident, Foreigh ID Card Holder"
Customer.EndDate,Date,Optional,"fake.future_datetime(end_date=""+10y"")",Random
Customer.SitusState,String,Optional,"fake.state_abbr()",Random
Customer.TotalPayments,double,Optional,"fake.random_int(min=20, max=1200)",0
Customer.Address().name,String,Optional,"fake.random_element(('Main', 'Summer', 'Old'))","Main, Summer, Old"
Customer.Address().addressLine1,String,Optional,fake.street_address(),0
Customer.Address().addressLine2,String,Optional,fake.secondary_address(),0
Customer.Address().city,String,Optional,fake.city(),0
Customer.Address().state,String,Optional,fake.state_abbr(),0
Customer.Address().postalCode,String,Optional,fake.postcode(),0
Customer.Address().country,String,Optional,fake.country(),0
Customer.Address().type,String,Optional,"fake.random_element(('Main', 'Summer', 'Old'))","Main, Summer"
Customer.Address().effectiveDate,date,Optional,fake.past_datetime(),0
Customer.Address().endDate,date,Optional,"fake.future_datetime(end_date=""+3y"")",0
Customer.Address().wheelchairAccess,boolean,Optional,fake.boolean(chance_of_getting_true=10),"True, False"
Customer.Communication().phoneNumber,String,Optional,fake.phone_number(),0
Customer.Communication().phonetype,String,Optional,"fake.random_element(('Home', 'Work', 'Cell', 'Fax', 'Pager'))","Home, Work, Cell, Fax, Pager"
Customer.Communication().emailAddress,String,Optional,fake.email(),0
Customer.Communication().emailtype,String,Optional,"fake.random_element(('Home', 'Work'))","Home, Work"
Customer.Communication().SocialMediaID,String,Optional,fake.user_name(),0
Customer.Communication().SocialMediaType,String,Optional,"fake.random_element(('Facebook', 'Academia.edu', 'Bebo', 'CaringBridge', 'GoodReads', 'DailyStrength', 'Google+'))","Facebook,GoodReads"
Customer.languages().language,String,Optional,"fake.random_element(('Albanian', 'Farsi', 'Hindi', 'Korean', 'Polish', 'Spanish', 'Arabic', 'French', 'Hmong', 'Laotian', 'Portuguese', 'Tagalog', 'Armenian', 'German', 'Italian', 'Lithuanian', 'Punjabi', 'Thai', 'Bengali', 'Greek', 'Japanese', 'Malay', 'Romanian', 'Turkish', 'Burmese', 'Haitian Creole'))","Albanian,Farsi"
Customer.languages().Usage,String,Optional,"fake.random_element(('Spoken', 'Reading', 'Writing', 'Native'))","Spoken, Reading, Writing, Native"
Customer.Policy()._HIDDEN_, double ,Optional,"relater.get_policy()",0
Customer.Policy().policy_id,double ,Optional,"relater.policy_details[\"id\"]",0
Customer.Policy().policyType,String ,Optional,"relater.policy_details[\"policyType\"]",0
Customer.Policy().effectiveDate,Date,Optional,"relater.policy_details[\"effectiveDate\"]",Random
Customer.Policy().expirationDate,Date,Optional,"relater.policy_details[\"expirationDate\"]",Random
Customer.Policy().isBound,String,Optional,"relater.policy_details[\"isBound\"]",Random
Customer.Payment().policy_id,String ,Optional,"relater.policy_details[\"id\"]",0
Customer.Payment().payment_date,date ,Optional,fake.past_datetime(),0
Customer.Payment().amount,double ,Optional,"fake.random_int(min=40, max=1000)",0
Customer.BankAccount.BankName,String ,Optional,"fake.company()",Random
Customer.BankAccount.BankAccountHolderName,String ,Optional,fake.name(),0
Customer.BankAccount.BankAccountNumber,String ,Optional,fake.iban(),0
Customer.BankAccount.BankAccountType,String ,Optional,"fake.random_element(('Checking', 'Savings'))",0
Customer.BankAccount.BankRoutingNumber,String ,Optional,"fake.iban()",0
